"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
"634","2013-07-01 00:00:00","2013-07-01 00:10:34","164","E 47 St & 2 Ave","40.75323098","-73.97032517","504","1 Ave & E 15 St","40.73221853","-73.98165557","16950","Customer",\N,"0"
"1547","2013-07-01 00:00:02","2013-07-01 00:25:49","388","W 26 St & 10 Ave","40.749717753","-74.002950346","459","W 20 St & 11 Ave","40.746745","-74.007756","19816","Customer",\N,"0"
"178","2013-07-01 00:01:04","2013-07-01 00:04:02","293","Lafayette St & E 8 St","40.73028666","-73.9907647","237","E 11 St & 2 Ave","40.73047309","-73.98672378","14548","Subscriber","1980","2"
"1580","2013-07-01 00:01:06","2013-07-01 00:27:26","531","Forsyth St & Broome St","40.71893904","-73.99266288","499","Broadway & W 60 St","40.76915505","-73.98191841","16063","Customer",\N,"0"
"757","2013-07-01 00:01:10","2013-07-01 00:13:47","382","University Pl & E 14 St","40.73492695","-73.99200509","410","Suffolk St & Stanton St","40.72066442","-73.98517977","19213","Subscriber","1986","1"
"861","2013-07-01 00:01:23","2013-07-01 00:15:44","511","E 14 St & Avenue B","40.72938685","-73.97772429","454","E 51 St & 1 Ave","40.75455731","-73.96592976","16223","Subscriber","1988","1"
"550","2013-07-01 00:01:59","2013-07-01 00:11:09","293","Lafayette St & E 8 St","40.73028666","-73.9907647","394","E 9 St & Avenue C","40.72521311","-73.97768752","16746","Customer",\N,"0"
"288","2013-07-01 00:02:16","2013-07-01 00:07:04","224","Spruce St & Nassau St","40.71146364","-74.00552427","376","John St & William St","40.70862144","-74.00722156","16062","Subscriber","1985","2"
"766","2013-07-01 00:02:16","2013-07-01 00:15:02","432","E 7 St & Avenue A","40.72621788","-73.98379855","336","Sullivan St & Washington Sq","40.73047747","-73.99906065","17963","Subscriber","1980","2"
"773","2013-07-01 00:02:23","2013-07-01 00:15:16","173","Broadway & W 49 St","40.76064679","-73.98442659","479","9 Ave & W 45 St","40.76019252","-73.9912551","19365","Subscriber","1989","1"
